Date,Time,Box,PPM,TEMP,EC,PH,PPM_AN,TEMP_AN,EC_AN,PH_AN,Today_temp_high_celcius,Today_temp_low_celcius,Wind_km/h,Humidity_%,Dew_point_celcius,Pressure_mb,Precipitation_%,Indeks_UV,Tutupan_Awan_%,Ketinggian_Awan_m,Wind_quality_aqi
12/9/2020,5:00:00 PM,1,141,28.8,283,,1042,29.2,2057,,29,22,14,89,24,1005.8,,,,,
12/9/2020,5:00:00 PM,2,141,28.8,283,,992,28.8,2048,0,29,22,14,89,24,1005.8,,,,,
12/10/2020,5:30:00 PM,1,,,,,1028,29,2057,,30,22,5,95,24,1009.5,,,,,
12/10/2020,5:30:00 PM,2,,,,,1037,28.5,2075,0,30,22,5,95,24,1009.5,,,,,
12/11/2020,4:00:00 PM,1,,,,,901,29.2,2084,,31,22,8,85,24,1007.1,,,,,
12/11/2020,4:00:00 PM,2,,,,,953,29.5,1858,0,31,22,8,85,24,1007.1,,,,,
12/12/2020,5:00:00 PM,1,,,,,1024,28.2,2057,7.3,31,24,,,,,,,,,
12/12/2020,5:00:00 PM,2,,,,,1042,28.2,1995,7.3,31,24,,,,,,,,,
12/13/2020,9:00:00 PM,1,,,,,1062,26.8,1964,7.4,27,22,2,98,24,1009.8,84,,,,
12/13/2020,9:00:00 PM,2,,,,,1034,26.5,2035,7.4,27,22,2,98,24,1009.8,84,,,,
12/14/2020,9:00:00 PM,1,,,,,936,27.1,1791,7.4,27,22,2,100,23,1010.2,51,,,,
12/14/2020,9:00:00 PM,2,,,,,888,27.2,1783,7.4,27,22,2,100,23,1010.2,51,,,,
12/15/2020,9:00:00 PM,1,,,,,809,27.4,1619,7.4,27,23,2,100,23,1010.2,59,,,,
12/15/2020,9:00:00 PM,2,,,,,743,28,1531,7.2,27,23,2,100,23,1010.2,59,,,,
12/16/2020,4:45:00 PM,1,,,,,780,29.1,1652,7.3,27,23,2,100,23,1010.2,68,,,,
12/16/2020,4:45:00 PM,2,,,,,848,29.8,1705,7,27,23,2,100,23,1010.2,68,,,,
12/17/2020,4:30:00 PM,1,,,,,773,26.4,1509,7.1,29,22,14,82,24,1007.8,70,,,,
12/17/2020,4:30:00 PM,2,,,,,777,26.3,1561,6.9,29,22,14,82,24,1007.8,70,,,,
12/18/2020,3:30:00 PM,1,,,,,780,26.4,1554,7,29,22,13,84,23,1007,58.5,1,99,500,
12/18/2020,3:30:00 PM,2,,,,,792,26.7,1451,6.8,29,22,13,84,23,1007,58.5,1,99,500,
12/19/2020,8:30:00 PM,1,,,,,792,27.4,1546,6.8,29,23,14,81,21,1009,47,,95,7000,42
12/19/2020,8:30:00 PM,2,,,,,732,27,1561,6.9,29,23,14,81,21,1009,47,,95,7000,42
12/20/2020,1:00:00 PM,1,100,30.1,213,7.3,1090,29.7,2167,6.4,32,22,18,59,20,1007,65,2,75,9100,16
12/20/2020,1:00:00 PM,2,100,29.5,200,7.4,852,30,1722,6.5,32,22,18,59,20,1007,65,2,75,9100,16
12/21/2020,4:30:00 PM,1,,,,,1090,29,2042,6.6,,,,,,,,,,,
12/21/2020,4:30:00 PM,2,,,,,847,29.5,1649,6.9,,,,,,,,,,,
12/22/2020,5:00:00 PM,1,,,,,1104,30.2,2208,6.6,32,23,14,60,22,1006,53.5,2,91,9100,20
12/22/2020,5:00:00 PM,2,,,,,856,30.5,1713,6.9,32,23,14,60,22,1006,53.5,2,91,9100,20
12/23/2020,3:30:00 PM,1,,,,,1097,30.9,2187,6.5,31,22,13,61,21,1006,56,2,70,500,35
12/23/2020,3:30:00 PM,2,,,,,890,31.7,1771,6.8,31,22,13,61,21,1006,56,2,70,500,35
12/24/2020,4:20:00 PM,1,,,,,1104,31.7,2209,6.4,32,22,14,60,21,1006,40.5,2,70,9100,15
